sample interval	  ECG I	iltered
            133	  0.090	  0.035
            134	  0.085	  0.035
            135	  0.070	  0.030
            136	  0.080	  0.025
            137	  0.080	  0.025
            138	  0.090	  0.025
            139	  0.095	  0.025
            140	  0.110	  0.030
            141	  0.115	  0.030
            142	  0.130	  0.035
            143	  0.115	  0.040
            144	  0.100	  0.045
            145	  0.095	  0.050
            146	  0.095	  0.050
            147	  0.095	  0.050
            148	  0.100	  0.050
            149	  0.110	  0.055
            150	  0.120	  0.055
            151	  0.125	  0.060
            152	  0.140	  0.060
            153	  0.135	  0.065
            154	  0.115	  0.065
            155	  0.115	  0.070
            156	  0.115	  0.070
            157	  0.115	  0.070
            158	  0.125	  0.070
            159	  0.130	  0.070
            160	  0.125	  0.065
            161	  0.140	  0.065
            162	  0.140	  0.065
            163	  0.140	  0.060
            164	  0.130	  0.060
            165	  0.105	  0.060
            166	  0.100	  0.065
            167	  0.100	  0.065
            168	  0.130	  0.070
            169	  0.140	  0.070
            170	  0.135	  0.070
            171	  0.150	  0.075
            172	  0.145	  0.075
            173	  0.130	  0.075
            174	  0.125	  0.075
            175	  0.125	  0.070
            176	  0.115	  0.070
            177	  0.120	  0.070
            178	  0.125	  0.070
            179	  0.140	  0.065
            180	  0.140	  0.065
            181	  0.150	  0.065
            182	  0.145	  0.065
            183	  0.140	  0.065
            184	  0.135	  0.065
            185	  0.140	  0.060
            186	  0.125	  0.060
            187	  0.125	  0.060
            188	  0.135	  0.065
            189	  0.145	  0.065
            190	  0.145	  0.065
            191	  0.140	  0.070
            192	  0.135	  0.070
            193	  0.120	  0.075
            194	  0.120	  0.075
            195	  0.110	  0.075
            196	  0.115	  0.075
            197	  0.120	  0.070
            198	  0.135	  0.070
            199	  0.135	  0.065
            200	  0.130	  0.065
            201	  0.135	  0.060
            202	  0.130	  0.055
            203	  0.110	  0.055
            204	  0.110	  0.055
            205	  0.110	  0.050
            206	  0.105	  0.050
            207	  0.115	  0.050
            208	  0.125	  0.050
            209	  0.130	  0.050
            210	  0.115	  0.045
            211	  0.120	  0.045
            212	  0.115	  0.045
            213	  0.105	  0.040
            214	  0.100	  0.035
            215	  0.105	  0.035
            216	  0.090	  0.030
            217	  0.100	  0.030
            218	  0.105	  0.025
            219	  0.110	  0.025
            220	  0.120	  0.030
            221	  0.135	  0.030
            222	  0.120	  0.035
            223	  0.110	  0.040
            224	  0.095	  0.045
            225	  0.100	  0.045
            226	  0.095	  0.045
            227	  0.100	  0.045
            228	  0.110	  0.045
            229	  0.110	  0.045
            230	  0.115	  0.045
            231	  0.115	  0.045
            232	  0.095	  0.050
            233	  0.080	  0.050
            234	  0.075	  0.050
            235	  0.070	  0.050
            236	  0.070	  0.045
            237	  0.075	  0.040
            238	  0.090	  0.035
            239	  0.085	  0.030
            240	  0.100	  0.020
            241	  0.125	  0.020
            242	  0.110	  0.020
            243	  0.105	  0.020
            244	  0.075	  0.025
            245	  0.080	  0.035
            246	  0.065	  0.040
            247	  0.075	  0.040
            248	  0.080	  0.045
            249	  0.090	  0.045
            250	  0.100	  0.040
            251	  0.115	  0.035
            252	  0.105	  0.030
            253	  0.090	  0.025
            254	  0.085	  0.025
            255	  0.090	  0.030
            256	  0.085	  0.030
            257	  0.095	  0.035
            258	  0.110	  0.045
            259	  0.135	  0.050
            260	  0.130	  0.055
            261	  0.135	  0.060
            262	  0.125	  0.060
            263	  0.120	  0.060
            264	  0.110	  0.065
            265	  0.105	  0.060
            266	  0.095	  0.060
            267	  0.110	  0.060
            268	  0.140	  0.055
            269	  0.135	  0.055
            270	  0.140	  0.050
            271	  0.140	  0.045
            272	  0.130	  0.045
            273	  0.125	  0.040
            274	  0.120	  0.045
            275	  0.105	  0.050
            276	  0.100	  0.055
            277	  0.120	  0.060
            278	  0.150	  0.070
            279	  0.160	  0.075
            280	  0.160	  0.080
            281	  0.170	  0.085
            282	  0.160	  0.080
            283	  0.120	  0.075
            284	  0.115	  0.070
            285	  0.115	  0.065
            286	  0.095	  0.055
            287	  0.095	  0.050
            288	  0.100	  0.045
            289	  0.095	  0.040
            290	  0.090	  0.040
            291	  0.090	  0.035
            292	  0.085	  0.030
            293	  0.055	  0.020
            294	  0.065	  0.015
            295	  0.060	  0.010
            296	  0.065	  0.010
            297	  0.075	  0.005
            298	  0.080	  0.005
            299	  0.080	  0.010
            300	  0.095	  0.015
            301	  0.075	  0.015
            302	  0.055	  0.020
            303	  0.050	  0.020
            304	  0.045	  0.020
            305	  0.035	  0.020
            306	  0.045	  0.020
            307	  0.045	  0.015
            308	  0.055	  0.015
            309	  0.060	  0.015
            310	  0.060	  0.010
            311	  0.060	  0.010
            312	  0.060	  0.005
            313	  0.050	  0.005
            314	  0.035	  0.000
            315	  0.020	 -0.005
            316	  0.025	 -0.010
            317	  0.035	 -0.010
            318	  0.045	 -0.010
            319	  0.055	 -0.010
            320	  0.060	 -0.010
            321	  0.055	 -0.010
            322	  0.035	 -0.010
            323	  0.025	 -0.010
            324	  0.030	 -0.015
            325	  0.020	 -0.015
            326	  0.030	 -0.020
            327	  0.050	 -0.025
            328	  0.030	 -0.030
            329	  0.040	 -0.030
            330	  0.050	 -0.030
            331	  0.040	 -0.030
            332	  0.025	 -0.030
            333	  0.000	 -0.025
            334	 -0.010	 -0.025
            335	 -0.025	 -0.030
            336	 -0.030	 -0.035
            337	 -0.025	 -0.040
            338	 -0.015	 -0.045
            339	 -0.005	 -0.045
            340	  0.030	 -0.035
            341	  0.065	 -0.015
            342	  0.110	  0.025
            343	  0.160	  0.075
            344	  0.200	  0.140
            345	  0.255	  0.220
            346	  0.335	  0.305
            347	  0.425	  0.390
            348	  0.530	  0.470
            349	  0.645	  0.535
            350	  0.720	  0.590
            351	  0.735	  0.620
            352	  0.685	  0.625
            353	  0.630	  0.600
            354	  0.570	  0.555
            355	  0.485	  0.485
            356	  0.410	  0.395
            357	  0.335	  0.295
            358	  0.230	  0.190
            359	  0.100	  0.090
            360	  0.010	  0.000
            361	 -0.060	 -0.070
            362	 -0.100	 -0.120
            363	 -0.100	 -0.145
            364	 -0.090	 -0.150
            365	 -0.085	 -0.140
            366	 -0.060	 -0.115
            367	 -0.020	 -0.090
            368	  0.010	 -0.060
            369	  0.035	 -0.040
            370	  0.040	 -0.025
            371	  0.035	 -0.015
            372	  0.015	 -0.015
            373	 -0.005	 -0.020
            374	 -0.020	 -0.025
            375	 -0.025	 -0.035
            376	 -0.010	 -0.035
            377	  0.000	 -0.040
            378	  0.005	 -0.040
            379	  0.025	 -0.040
            380	  0.025	 -0.040
            381	  0.020	 -0.035
            382	  0.000	 -0.035
            383	  0.005	 -0.035
            384	 -0.015	 -0.040
            385	 -0.020	 -0.040
            386	 -0.010	 -0.040
            387	 -0.010	 -0.045
            388	  0.000	 -0.045
            389	  0.010	 -0.045
            390	  0.000	 -0.045
            391	  0.005	 -0.045
            392	  0.005	 -0.045
            393	 -0.005	 -0.040
            394	  0.000	 -0.040
            395	 -0.010	 -0.035
            396	  0.000	 -0.030
            397	  0.015	 -0.030
            398	  0.020	 -0.025
            399	  0.025	 -0.025
            400	  0.040	 -0.025
            401	  0.025	 -0.025
            402	  0.010	 -0.025
            403	  0.000	 -0.025
            404	 -0.005	 -0.025
            405	 -0.005	 -0.025
            406	  0.005	 -0.030
            407	  0.025	 -0.030
            408	  0.025	 -0.030
            409	  0.030	 -0.030
            410	  0.025	 -0.025
            411	  0.010	 -0.025
            412	  0.020	 -0.020
            413	  0.005	 -0.020
            414	  0.010	 -0.015
            415	  0.005	 -0.010
            416	  0.015	 -0.010
            417	  0.020	 -0.010
            418	  0.035	 -0.010
            419	  0.040	 -0.010
            420	  0.050	 -0.010
            421	  0.050	 -0.010
            422	  0.045	 -0.010
            423	  0.040	 -0.010
            424	  0.025	 -0.005
            425	  0.030	  0.000
            426	  0.030	  0.005
            427	  0.040	  0.010
            428	  0.045	  0.015
            429	  0.055	  0.020
            430	  0.060	  0.025
            431	  0.065	  0.025
            432	  0.065	  0.030
            433	  0.070	  0.030
            434	  0.070	  0.035
            435	  0.065	  0.040
            436	  0.080	  0.045
            437	  0.095	  0.050
            438	  0.105	  0.055
            439	  0.105	  0.065
            440	  0.120	  0.070
            441	  0.115	  0.070
            442	  0.115	  0.075
            443	  0.110	  0.075
            444	  0.100	  0.075
            445	  0.100	  0.075
            446	  0.115	  0.075
            447	  0.130	  0.080
            448	  0.150	  0.085
            449	  0.155	  0.090
            450	  0.160	  0.095
            451	  0.150	  0.105
            452	  0.160	  0.115
            453	  0.165	  0.120
            454	  0.155	  0.130
            455	  0.160	  0.135
            456	  0.175	  0.140
            457	  0.200	  0.140
            458	  0.205	  0.145
            459	  0.210	  0.145
            460	  0.205	  0.145
            461	  0.195	  0.145
            462	  0.185	  0.145
            463	  0.180	  0.150
            464	  0.180	  0.150
            465	  0.180	  0.155
            466	  0.180	  0.160
            467	  0.200	  0.165
            468	  0.205	  0.170
            469	  0.205	  0.175
            470	  0.195	  0.175
            471	  0.170	  0.170
            472	  0.150	  0.165
            473	  0.135	  0.155
            474	  0.130	  0.140
            475	  0.125	  0.130
            476	  0.130	  0.120
            477	  0.115	  0.115
            478	  0.130	  0.110
            479	  0.130	  0.105
            480	  0.115	  0.100
            481	  0.095	  0.095
            482	  0.080	  0.085
            483	  0.070	  0.075
            484	  0.055	  0.060
            485	  0.030	  0.045
            486	  0.015	  0.030
            487	  0.025	  0.015
            488	  0.025	  0.005
            489	  0.020	 -0.005
            490	  0.010	 -0.005
            491	 -0.005	 -0.005
            492	 -0.020	 -0.005
            493	 -0.025	 -0.005
            494	 -0.035	 -0.005
            495	 -0.030	 -0.010
            496	 -0.010	 -0.015
            497	  0.000	 -0.025
            498	 -0.010	 -0.035
            499	 -0.005	 -0.040
            500	 -0.010	 -0.045
            501	 -0.030	 -0.050
            502	 -0.040	 -0.050
            503	 -0.055	 -0.050
            504	 -0.065	 -0.045
            505	 -0.055	 -0.050
            506	 -0.040	 -0.050
            507	 -0.045	 -0.055
            508	 -0.025	 -0.060
            509	 -0.035	 -0.070
            510	 -0.030	 -0.075
            511	 -0.050	 -0.075
            512	 -0.055	 -0.080
            513	 -0.060	 -0.080
            514	 -0.060	 -0.075
            515	 -0.045	 -0.070
            516	 -0.045	 -0.065
            517	 -0.035	 -0.060
            518	 -0.020	 -0.060
            519	 -0.030	 -0.055
            520	 -0.030	 -0.055
            521	 -0.050	 -0.055
            522	 -0.055	 -0.055
            523	 -0.055	 -0.055
            524	 -0.060	 -0.055
            525	 -0.055	 -0.055
            526	 -0.050	 -0.055
            527	 -0.040	 -0.055
            528	 -0.055	 -0.060
            529	 -0.030	 -0.060
            530	 -0.055	 -0.065
            531	 -0.050	 -0.065
            532	 -0.050	 -0.065
            533	 -0.060	 -0.065
            534	 -0.060	 -0.060
            535	 -0.045	 -0.060
            536	 -0.040	 -0.055
            537	 -0.040	 -0.055
            538	 -0.040	 -0.055
            539	 -0.040	 -0.050
            540	 -0.050	 -0.055
            541	 -0.055	 -0.055
            542	 -0.055	 -0.055
            543	 -0.060	 -0.060
            544	 -0.055	 -0.060
            545	 -0.030	 -0.060
            546	 -0.030	 -0.060
            547	 -0.025	 -0.060
            548	 -0.020	 -0.060
            549	 -0.015	 -0.065
            550	 -0.025	 -0.065
            551	 -0.035	 -0.065
            552	 -0.045	 -0.070
            553	 -0.050	 -0.070
            554	 -0.055	 -0.070
            555	 -0.045	 -0.070
            556	 -0.040	 -0.065
            557	 -0.020	 -0.065
            558	 -0.015	 -0.060
            559	 -0.010	 -0.055
            560	 -0.015	 -0.055
            561	 -0.020	 -0.050
            562	 -0.030	 -0.055
            563	 -0.035	 -0.055
            564	 -0.040	 -0.055
            565	 -0.030	 -0.060
            566	 -0.030	 -0.060
            567	 -0.025	 -0.060
            568	 -0.015	 -0.060
            569	 -0.015	 -0.055
            570	 -0.025	 -0.055
            571	 -0.020	 -0.050
            572	 -0.035	 -0.045
            573	 -0.040	 -0.040
            574	 -0.045	 -0.040
            575	 -0.045	 -0.035
            576	 -0.030	 -0.035
            577	 -0.025	 -0.035
            578	 -0.005	 -0.035
            579	 -0.010	 -0.035
            580	 -0.030	 -0.035
            581	 -0.030	 -0.035
            582	 -0.035	 -0.035
            583	 -0.050	 -0.035
            584	 -0.060	 -0.030
            585	 -0.040	 -0.030
            586	 -0.040	 -0.030
            587	 -0.030	 -0.035
            588	 -0.020	 -0.035
            589	 -0.025	 -0.035
            590	 -0.040	 -0.040
            591	 -0.045	 -0.045
            592	 -0.020	 -0.045
            593	 -0.050	 -0.050
            594	 -0.055	 -0.050
            595	 -0.040	 -0.050
            596	 -0.030	 -0.050
            597	 -0.035	 -0.050
            598	 -0.015	 -0.050
            599	 -0.020	 -0.050
            600	 -0.040	 -0.050
            601	 -0.050	 -0.050
            602	 -0.055	 -0.055
            603	 -0.060	 -0.055
            604	 -0.060	 -0.060
            605	 -0.055	 -0.060
            606	 -0.040	 -0.065
            607	 -0.040	 -0.065
            608	 -0.035	 -0.065
            609	 -0.020	 -0.060
            610	 -0.035	 -0.060
            611	 -0.045	 -0.060
            612	 -0.050	 -0.060
            613	 -0.070	 -0.060
            614	 -0.070	 -0.060
            615	 -0.050	 -0.060
            616	 -0.045	 -0.060
            617	 -0.035	 -0.060
            618	 -0.035	 -0.060
            619	 -0.035	 -0.060
            620	 -0.045	 -0.060
            621	 -0.055	 -0.055
            622	 -0.050	 -0.050
            623	 -0.050	 -0.050
            624	 -0.040	 -0.045
            625	 -0.035	 -0.045
            626	 -0.025	 -0.040
            627	 -0.005	 -0.040
            628	 -0.010	 -0.040
            629	 -0.025	 -0.035
            630	 -0.040	 -0.035
            631	 -0.030	 -0.030
            632	 -0.035	 -0.030
            633	 -0.040	 -0.025
            634	 -0.040	 -0.025
            635	 -0.025	 -0.020
            636	 -0.015	 -0.020
            637	 -0.010	 -0.020
            638	  0.015	 -0.020
            639	 -0.005	 -0.020
            640	 -0.005	 -0.020
            641	 -0.015	 -0.020
            642	 -0.020	 -0.025
            643	 -0.025	 -0.025
            644	 -0.025	 -0.030
            645	 -0.010	 -0.030
            646	  0.005	 -0.035
            647	  0.015	 -0.035
            648	  0.020	 -0.035
            649	  0.015	 -0.030
            650	  0.005	 -0.030
            651	  0.005	 -0.025
            652	  0.000	 -0.015
            653	  0.000	 -0.010
            654	  0.000	 -0.005
            655	  0.000	  0.000
            656	  0.005	  0.000
            657	  0.020	  0.000
            658	  0.030	  0.000
            659	  0.020	 -0.005
            660	 -0.010	 -0.010
            661	 -0.025	 -0.015
            662	 -0.035	 -0.020
            663	 -0.055	 -0.025
            664	 -0.050	 -0.030
            665	 -0.045	 -0.035
            666	 -0.040	 -0.040
            667	 -0.045	 -0.045
            668	 -0.025	 -0.055
            669	 -0.035	 -0.060
            670	 -0.060	 -0.070
            671	 -0.060	 -0.075
            672	 -0.070	 -0.080
            673	 -0.080	 -0.080
            674	 -0.065	 -0.080
            675	 -0.055	 -0.080
            676	 -0.050	 -0.075
            677	 -0.050	 -0.075
            678	 -0.035	 -0.075
            679	 -0.055	 -0.075
            680	 -0.055	 -0.075
            681	 -0.060	 -0.075
            682	 -0.065	 -0.075
            683	 -0.065	 -0.075
            684	 -0.060	 -0.075
            685	 -0.065	 -0.075
            686	 -0.065	 -0.075
            687	 -0.065	 -0.075
            688	 -0.065	 -0.080
            689	 -0.065	 -0.080
            690	 -0.080	 -0.085
            691	 -0.085	 -0.090
            692	 -0.080	 -0.095
            693	 -0.100	 -0.095
            694	 -0.090	 -0.095
            695	 -0.080	 -0.095
            696	 -0.060	 -0.090
            697	 -0.045	 -0.085
            698	 -0.045	 -0.085
            699	 -0.055	 -0.085
            700	 -0.060	 -0.085
            701	 -0.085	 -0.090
            702	 -0.085	 -0.095
            703	 -0.100	 -0.100
            704	 -0.100	 -0.105
            705	 -0.080	 -0.105
            706	 -0.075	 -0.105
            707	 -0.070	 -0.105
            708	 -0.075	 -0.105
            709	 -0.095	 -0.105
            710	 -0.105	 -0.110
            711	 -0.115	 -0.115
            712	 -0.140	 -0.125
            713	 -0.155	 -0.130
            714	 -0.135	 -0.130
            715	 -0.105	 -0.120
            716	 -0.045	 -0.095
            717	  0.020	 -0.055
            718	  0.075	 -0.005
            719	  0.125	  0.060
            720	  0.170	  0.140
            721	  0.225	  0.225
            722	  0.275	  0.310
            723	  0.390	  0.395
            724	  0.515	  0.470
            725	  0.640	  0.530
            726	  0.690	  0.575
            727	  0.660	  0.595
            728	  0.615	  0.590
            729	  0.555	  0.555
            730	  0.485	  0.495
            731	  0.390	  0.410
            732	  0.305	  0.310
            733	  0.195	  0.200
            734	  0.085	  0.085
            735	 -0.030	 -0.015
            736	 -0.115	 -0.095
            737	 -0.155	 -0.150
            738	 -0.145	 -0.180
            739	 -0.125	 -0.185
            740	 -0.115	 -0.170
            741	 -0.110	 -0.140
            742	 -0.085	 -0.110
            743	 -0.050	 -0.080
            744	 -0.055	 -0.060
            745	 -0.030	 -0.055
            746	 -0.035	 -0.055
            747	 -0.045	 -0.065
            748	 -0.040	 -0.075
            749	 -0.040	 -0.085
            750	 -0.065	 -0.095
            751	 -0.070	 -0.100
            752	 -0.080	 -0.100
            753	 -0.075	 -0.095
            754	 -0.070	 -0.090
            755	 -0.060	 -0.085
            756	 -0.050	 -0.085
            757	 -0.030	 -0.080
            758	 -0.045	 -0.080
            759	 -0.045	 -0.080
            760	 -0.055	 -0.080
            761	 -0.060	 -0.080
            762	 -0.055	 -0.080
            763	 -0.060	 -0.075
            764	 -0.040	 -0.070
            765	 -0.035	 -0.070
            766	 -0.025	 -0.065
            767	 -0.010	 -0.065
            768	 -0.025	 -0.065
            769	 -0.045	 -0.070
            770	 -0.050	 -0.070
            771	 -0.055	 -0.070
            772	 -0.050	 -0.065
            773	 -0.055	 -0.065
            774	 -0.030	 -0.060
            775	 -0.025	 -0.055
            776	 -0.020	 -0.050
            777	 -0.010	 -0.045
            778	 -0.010	 -0.045
            779	 -0.020	 -0.040
            780	 -0.030	 -0.040
            781	 -0.025	 -0.035
            782	 -0.020	 -0.035
            783	 -0.015	 -0.030
            784	  0.005	 -0.025
            785	  0.020	 -0.025
            786	  0.025	 -0.020
            787	  0.025	 -0.015
            788	  0.015	 -0.015
            789	  0.005	 -0.015
            790	 -0.010	 -0.015
            791	 -0.010	 -0.020
            792	 -0.010	 -0.020
            793	  0.010	 -0.020
            794	  0.015	 -0.020
            795	  0.025	 -0.020
            796	  0.045	 -0.015
            797	  0.060	 -0.010
            798	  0.065	 -0.005
            799	  0.050	  0.005
            800	  0.040	  0.010
            801	  0.045	  0.015
            802	  0.040	  0.020
            803	  0.045	  0.020
            804	  0.045	  0.020
            805	  0.060	  0.020
            806	  0.065	  0.020
            807	  0.070	  0.015
            808	  0.065	  0.015
            809	  0.065	  0.010
            810	  0.065	  0.010
            811	  0.065	  0.015
            812	  0.075	  0.020
            813	  0.080	  0.025
            814	  0.100	  0.035
            815	  0.115	  0.045
            816	  0.125	  0.060
            817	  0.130	  0.070
            818	  0.140	  0.075
            819	  0.140	  0.085
            820	  0.150	  0.090
            821	  0.135	  0.095
            822	  0.130	  0.100
            823	  0.140	  0.105
            824	  0.170	  0.110
            825	  0.175	  0.115
            826	  0.190	  0.125
            827	  0.200	  0.130
            828	  0.205	  0.140
            829	  0.190	  0.145
            830	  0.200	  0.155
            831	  0.200	  0.160
            832	  0.195	  0.160
            833	  0.210	  0.165
            834	  0.225	  0.165
            835	  0.235	  0.165
            836	  0.230	  0.170
            837	  0.240	  0.175
            838	  0.225	  0.175
            839	  0.225	  0.175
            840	  0.205	  0.175
            841	  0.200	  0.175
            842	  0.190	  0.170
            843	  0.190	  0.165
            844	  0.205	  0.155
            845	  0.205	  0.150
            846	  0.220	  0.145
            847	  0.230	  0.140
            848	  0.205	  0.140
            849	  0.195	  0.140
            850	  0.175	  0.140
            851	  0.165	  0.140
            852	  0.155	  0.135
            853	  0.150	  0.130
            854	  0.140	  0.120
            855	  0.135	  0.110
            856	  0.130	  0.090
            857	  0.110	  0.075
            858	  0.105	  0.060
            859	  0.085	  0.045
            860	  0.075	  0.035
            861	  0.065	  0.030
            862	  0.060	  0.030
            863	  0.065	  0.025
            864	  0.060	  0.025
            865	  0.060	  0.020
            866	  0.050	  0.020
            867	  0.045	  0.010
            868	  0.040	  0.000
            869	  0.020	 -0.010
            870	  0.010	 -0.020
            871	  0.000	 -0.030
            872	  0.000	 -0.035
            873	  0.010	 -0.040
            874	  0.015	 -0.045
            875	  0.010	 -0.045
            876	  0.020	 -0.045
            877	  0.010	 -0.045
            878	  0.000	 -0.050
            879	 -0.020	 -0.050
            880	 -0.020	 -0.055
            881	 -0.040	 -0.060
            882	 -0.035	 -0.060
            883	 -0.025	 -0.065
            884	 -0.015	 -0.065
            885	 -0.005	 -0.070
            886	  0.005	 -0.070
            887	 -0.005	 -0.065
            888	 -0.020	 -0.065
            889	 -0.025	 -0.060
            890	 -0.025	 -0.060
            891	 -0.025	 -0.060
            892	 -0.025	 -0.055
            893	 -0.025	 -0.055
            894	 -0.010	 -0.060
            895	  0.005	 -0.060
            896	  0.015	 -0.060
            897	  0.010	 -0.060
            898	  0.005	 -0.060
            899	 -0.020	 -0.060
            900	 -0.015	 -0.065
            901	 -0.015	 -0.065
            902	 -0.020	 -0.065
            903	 -0.025	 -0.065
            904	 -0.020	 -0.065
            905	 -0.020	 -0.070
            906	  0.000	 -0.070
            907	  0.015	 -0.070
            908	 -0.005	 -0.075
            909	 -0.010	 -0.075
            910	 -0.020	 -0.080
            911	 -0.030	 -0.085
            912	 -0.030	 -0.090
            913	 -0.015	 -0.090
            914	  0.000	 -0.095
            915	  0.010	 -0.095
            916	  0.015	 -0.095
            917	  0.015	 -0.090
            918	 -0.005	 -0.085
            919	 -0.010	 -0.080
            920	 -0.035	 -0.075
            921	 -0.025	 -0.070
            922	 -0.025	 -0.065
            923	 -0.020	 -0.065
            924	  0.005	 -0.065
            925	  0.015	 -0.065
            926	  0.020	 -0.065
            927	  0.025	 -0.070
            928	  0.000	 -0.070
            929	 -0.010	 -0.070
            930	 -0.025	 -0.065
            931	 -0.035	 -0.065
            932	 -0.020	 -0.060
            933	 -0.010	 -0.060
            934	  0.005	 -0.055
            935	  0.005	 -0.055
            936	  0.010	 -0.060
            937	  0.015	 -0.060
            938	  0.000	 -0.065
            939	 -0.005	 -0.065
            940	 -0.020	 -0.070
            941	 -0.025	 -0.070
            942	 -0.025	 -0.075
            943	 -0.015	 -0.075
            944	  0.000	 -0.075
            945	  0.005	 -0.075
            946	  0.015	 -0.075
            947	  0.020	 -0.075
            948	  0.000	 -0.075
            949	 -0.015	 -0.075
            950	 -0.020	 -0.075
            951	 -0.030	 -0.080
            952	 -0.025	 -0.080
            953	 -0.005	 -0.080
            954	 -0.005	 -0.080
            955	  0.000	 -0.080
            956	  0.010	 -0.080
            957	  0.015	 -0.080
            958	  0.005	 -0.080
            959	 -0.010	 -0.080
            960	 -0.015	 -0.080
            961	 -0.020	 -0.080
            962	 -0.015	 -0.080
            963	 -0.005	 -0.085
            964	 -0.005	 -0.085
            965	 -0.005	 -0.085
            966	 -0.010	 -0.085
            967	 -0.010	 -0.090
            968	 -0.010	 -0.090
            969	 -0.015	 -0.095
            970	 -0.025	 -0.095
            971	 -0.025	 -0.100
            972	 -0.020	 -0.100
            973	 -0.010	 -0.100
            974	 -0.010	 -0.100
            975	 -0.005	 -0.100
            976	 -0.005	 -0.100
            977	 -0.010	 -0.100
            978	 -0.025	 -0.100
            979	 -0.025	 -0.100
            980	 -0.025	 -0.100
            981	 -0.035	 -0.105
            982	 -0.030	 -0.105
            983	 -0.020	 -0.110
            984	 -0.010	 -0.110
            985	 -0.005	 -0.110
            986	 -0.010	 -0.115
            987	 -0.015	 -0.115
            988	 -0.025	 -0.115
            989	 -0.030	 -0.115
            990	 -0.035	 -0.115
            991	 -0.040	 -0.115
            992	 -0.025	 -0.115
            993	 -0.020	 -0.115
            994	 -0.015	 -0.115
