sample interval	   MLII
185	-0.3
186	-0.21
187	-0.085
188	0.05
189	0.235
190	0.4
191	0.59
192	0.775
193	0.915
194	1.025
195	1.1
196	1.16
197	1.18
198	1.09
199	0.96
200	0.825
201	0.71
202	0.575
203	0.41
204	0.255
205	0.145
206	0.095
207	0.005
208	-0.105
209	-0.195
210	-0.245
211	-0.285
212	-0.325
213	-0.375
214	-0.43
215	-0.47
216	-0.495
217	-0.505
218	-0.52
219	-0.55
220	-0.56
221	-0.55
222	-0.54
223	-0.52
224	-0.54
225	-0.54
226	-0.55
227	-0.545
228	-0.53
229	-0.515
230	-0.53
231	-0.53
232	-0.535
233	-0.545
234	-0.525
235	-0.515
236	-0.51
237	-0.525
238	-0.535
239	-0.52
240	-0.51
241	-0.505
242	-0.51
243	-0.525
244	-0.535
245	-0.535
246	-0.515
247	-0.51
248	-0.515
249	-0.52
250	-0.53
251	-0.545
252	-0.535
253	-0.525
254	-0.515
255	-0.53
256	-0.535
257	-0.53
258	-0.515
259	-0.52
260	-0.53
261	-0.525
262	-0.515
263	-0.52
264	-0.495
265	-0.48
266	-0.49
267	-0.485
268	-0.495
269	-0.47
270	-0.47
271	-0.45
272	-0.445
273	-0.43
274	-0.435
275	-0.42
276	-0.4
277	-0.375
278	-0.37
279	-0.36
280	-0.35
281	-0.33
282	-0.3
283	-0.26
284	-0.25
285	-0.24
286	-0.235
287	-0.23
288	-0.21
289	-0.205
290	-0.18
291	-0.175
292	-0.185
293	-0.17
294	-0.165
295	-0.16
296	-0.155
297	-0.17
298	-0.17
299	-0.175
300	-0.175
301	-0.185
302	-0.185
303	-0.195
304	-0.2
305	-0.215
306	-0.22
307	-0.215
308	-0.23
309	-0.265
310	-0.28
311	-0.265
312	-0.26
313	-0.265
314	-0.255
315	-0.28
316	-0.31
317	-0.305
318	-0.29
319	-0.285
320	-0.3
321	-0.285
322	-0.29
323	-0.29
324	-0.29
325	-0.295
326	-0.295
327	-0.31
328	-0.31
329	-0.31
330	-0.315
331	-0.315
332	-0.315
333	-0.325
334	-0.33
335	-0.325
336	-0.31
337	-0.315
338	-0.32
339	-0.325
340	-0.36
341	-0.335
342	-0.32
343	-0.31
344	-0.32
345	-0.32
346	-0.33
347	-0.33
348	-0.31
349	-0.29
350	-0.3
351	-0.325
352	-0.33
353	-0.345
354	-0.325
355	-0.32
356	-0.32
357	-0.31
358	-0.315
359	-0.32
360	-0.32
361	-0.315
362	-0.31
363	-0.33
364	-0.34
365	-0.335
366	-0.325
367	-0.32
368	-0.32
369	-0.325
370	-0.345
371	-0.335
372	-0.32
373	-0.32
374	-0.32
375	-0.33
376	-0.36
377	-0.345
378	-0.32
379	-0.32
380	-0.33
381	-0.34
382	-0.355
383	-0.345
384	-0.33
385	-0.305
386	-0.3
387	-0.295
388	-0.305
389	-0.285
390	-0.245
391	-0.225
392	-0.225
393	-0.245
394	-0.26
395	-0.25
396	-0.22
397	-0.205
398	-0.175
399	-0.18
400	-0.175
401	-0.17
402	-0.145
403	-0.12
404	-0.145
405	-0.15
406	-0.165
407	-0.17
408	-0.165
409	-0.17
410	-0.185
411	-0.205
412	-0.24
413	-0.27
414	-0.325
415	-0.36
416	-0.39
417	-0.395
418	-0.405
419	-0.405
420	-0.415
421	-0.41
422	-0.4
423	-0.41
424	-0.42
425	-0.42
426	-0.4
427	-0.395
428	-0.395
429	-0.4
430	-0.39
431	-0.39
432	-0.385
433	-0.38
434	-0.39
435	-0.4
436	-0.395
437	-0.385
438	-0.375
439	-0.37
440	-0.365
441	-0.385
442	-0.39
443	-0.385
444	-0.39
445	-0.39
446	-0.385
447	-0.37
448	-0.33
449	-0.225
450	-0.09
451	0.09
452	0.27
453	0.46
454	0.64
455	0.83
456	0.98
457	1.085
458	1.175
459	1.175
460	1.065
461	0.91
462	0.78
463	0.66
464	0.53
465	0.385
466	0.245
467	0.175
468	0.155
469	0.095
470	0
471	-0.115
472	-0.19
473	-0.25
474	-0.295
475	-0.35
476	-0.415
477	-0.455
478	-0.49
479	-0.495
480	-0.495
481	-0.51
482	-0.52
483	-0.54
484	-0.56
485	-0.55
486	-0.54
487	-0.52
488	-0.515
489	-0.52
490	-0.53
491	-0.525
492	-0.495
493	-0.475
494	-0.485
495	-0.495
496	-0.51
497	-0.515
498	-0.505
499	-0.495
500	-0.5
501	-0.49
502	-0.495
503	-0.49
504	-0.49
505	-0.485
506	-0.5
507	-0.505
508	-0.515
509	-0.515
510	-0.51
511	-0.505
512	-0.505
513	-0.5
514	-0.505
515	-0.51
516	-0.5
517	-0.5
518	-0.5
519	-0.505
520	-0.525
521	-0.515
522	-0.515
523	-0.515
524	-0.495
525	-0.5
526	-0.51
527	-0.495
528	-0.49
529	-0.47
530	-0.475
531	-0.48
532	-0.475
533	-0.45
534	-0.44
535	-0.415
536	-0.41
537	-0.42
538	-0.4
539	-0.385
540	-0.345
541	-0.325
542	-0.32
543	-0.335
544	-0.325
545	-0.305
546	-0.285
547	-0.255
548	-0.24
549	-0.235
550	-0.235
551	-0.23
552	-0.205
553	-0.19
554	-0.2
555	-0.2
556	-0.22
557	-0.205
558	-0.22
559	-0.205
560	-0.215
561	-0.245
562	-0.26
563	-0.25
564	-0.255
565	-0.25
566	-0.265
567	-0.28
568	-0.3
569	-0.295
570	-0.3
571	-0.3
572	-0.305
573	-0.31
574	-0.33
575	-0.33
576	-0.32
577	-0.315
578	-0.32
579	-0.33
580	-0.345
581	-0.345
582	-0.34
583	-0.335
584	-0.335
585	-0.34
586	-0.355
587	-0.34
588	-0.345
589	-0.34
590	-0.35
591	-0.35
592	-0.365
593	-0.365
594	-0.35
595	-0.335
596	-0.335
597	-0.35
598	-0.36
599	-0.37
600	-0.36
601	-0.345
602	-0.35
603	-0.365
604	-0.365
605	-0.37
606	-0.355
607	-0.355
608	-0.36
609	-0.365
610	-0.365
611	-0.355
612	-0.335
613	-0.34
614	-0.355
615	-0.375
616	-0.385
617	-0.375
618	-0.36
619	-0.35
620	-0.355
621	-0.365
622	-0.375
623	-0.37
624	-0.36
625	-0.355
626	-0.355
627	-0.365
628	-0.365
629	-0.355
630	-0.335
631	-0.325
632	-0.335
633	-0.36
634	-0.375
635	-0.355
636	-0.335
637	-0.32
638	-0.32
639	-0.29
640	-0.3
641	-0.275
642	-0.25
643	-0.22
644	-0.24
645	-0.255
646	-0.245
647	-0.215
648	-0.18
649	-0.17
650	-0.165
651	-0.145
652	-0.135
653	-0.125
654	-0.115
655	-0.105
656	-0.115
657	-0.13
658	-0.17
659	-0.17
660	-0.18
661	-0.18
662	-0.21
663	-0.255
664	-0.315
665	-0.35
666	-0.37
667	-0.375
668	-0.37
669	-0.39
670	-0.405
671	-0.4
672	-0.39
673	-0.375
674	-0.38
675	-0.385
676	-0.405
677	-0.385
678	-0.375
679	-0.375
680	-0.38
681	-0.375
682	-0.38
683	-0.37
684	-0.355
685	-0.35
686	-0.355
687	-0.365
688	-0.375
689	-0.36
690	-0.35
691	-0.34
692	-0.34
693	-0.355
694	-0.38
695	-0.38
696	-0.36
697	-0.32
698	-0.23
699	-0.1
700	0.055
701	0.24
702	0.415
703	0.61
704	0.775
705	0.925
706	1.03
707	1.105
708	1.155
709	1.14
710	1.035
711	0.885
712	0.755
713	0.65
714	0.54
715	0.37
716	0.19
717	0.08
718	-0.015
719	-0.08
720	-0.175
721	-0.245
722	-0.305
723	-0.365
724	-0.41
725	-0.45
726	-0.47
727	-0.49
728	-0.495
729	-0.535
730	-0.56
731	-0.57
732	-0.565
733	-0.555
734	-0.56
735	-0.565
736	-0.585
737	-0.57
738	-0.555
739	-0.55
740	-0.545
741	-0.555
742	-0.57
743	-0.56
744	-0.55
745	-0.545
746	-0.525
747	-0.53
748	-0.545
749	-0.535
750	-0.53
751	-0.53
752	-0.52
753	-0.525
754	-0.535
755	-0.535
756	-0.525
757	-0.535
758	-0.525
759	-0.53
760	-0.55
761	-0.535
762	-0.53
763	-0.52
764	-0.535
765	-0.545
766	-0.55
767	-0.54
768	-0.525
769	-0.525
770	-0.535
771	-0.54
772	-0.53
773	-0.52
774	-0.51
775	-0.5
776	-0.505
777	-0.515
778	-0.52
779	-0.51
780	-0.505
781	-0.495
782	-0.48
783	-0.475
784	-0.475
785	-0.455
786	-0.425
787	-0.4
788	-0.41
789	-0.405
790	-0.4
791	-0.385
792	-0.37
793	-0.345
794	-0.315
795	-0.31
796	-0.315
797	-0.29
798	-0.26
799	-0.25
800	-0.235
801	-0.23
802	-0.24
803	-0.225
804	-0.22
805	-0.205
806	-0.2
807	-0.18
808	-0.185
809	-0.18
810	-0.185
811	-0.17
812	-0.19
813	-0.21
814	-0.225
815	-0.23
816	-0.215
817	-0.215
818	-0.23
819	-0.25
820	-0.26
821	-0.27
822	-0.255
823	-0.255
824	-0.265
825	-0.275
826	-0.275
827	-0.28
828	-0.285
829	-0.27
830	-0.27
831	-0.295
832	-0.3
833	-0.31
834	-0.31
835	-0.295
836	-0.295
837	-0.295
838	-0.315
839	-0.315
840	-0.325
841	-0.315
842	-0.315
843	-0.315
844	-0.325
845	-0.335
846	-0.33
847	-0.33
848	-0.32
849	-0.32
850	-0.325
851	-0.325
852	-0.31
853	-0.31
854	-0.315
855	-0.305
856	-0.31
857	-0.32
858	-0.32
859	-0.32
860	-0.32
861	-0.32
862	-0.33
863	-0.32
864	-0.315
865	-0.305
866	-0.315
867	-0.315
868	-0.34
869	-0.335
870	-0.325
871	-0.315
872	-0.31
873	-0.33
874	-0.34
875	-0.32
876	-0.305
877	-0.295
878	-0.3
879	-0.315
880	-0.33
881	-0.33
882	-0.31
883	-0.295
884	-0.3
885	-0.32
886	-0.33
887	-0.325
888	-0.31
889	-0.295
890	-0.31
891	-0.32
892	-0.315
893	-0.295
894	-0.28
895	-0.265
896	-0.245
897	-0.245
898	-0.245
899	-0.24
900	-0.22
901	-0.215
902	-0.23
903	-0.21
904	-0.195
905	-0.18
906	-0.16
907	-0.135
908	-0.125
909	-0.13
910	-0.13
911	-0.12
912	-0.095
913	-0.105
914	-0.105
915	-0.13
916	-0.15
917	-0.14
918	-0.145
919	-0.17
920	-0.23
921	-0.28
922	-0.325
923	-0.34
924	-0.34
925	-0.335
926	-0.36
927	-0.365
928	-0.375
929	-0.37
930	-0.355
931	-0.34
932	-0.345
933	-0.35
934	-0.345
935	-0.35
936	-0.35
937	-0.33
938	-0.315
939	-0.325
940	-0.34
941	-0.33
942	-0.335
943	-0.315
944	-0.31
945	-0.31
946	-0.32
947	-0.315
948	-0.305
949	-0.305
950	-0.315
951	-0.325
952	-0.335
953	-0.33
954	-0.275
955	-0.165
956	-0.01
957	0.185
958	0.355
959	0.56
960	0.77
961	0.945
962	1.05
963	1.14
964	1.18
965	1.14
966	1.035
967	0.895
968	0.77
969	0.675
970	0.57
971	0.46
972	0.31
973	0.17
974	0.065
975	-0.03
976	-0.11
977	-0.195
978	-0.27
979	-0.33
980	-0.365
981	-0.42
982	-0.485
983	-0.5
984	-0.51
985	-0.5
986	-0.505
987	-0.515
988	-0.535
989	-0.545
990	-0.54
991	-0.54
992	-0.54
993	-0.535
994	-0.52
995	-0.515
996	-0.515
997	-0.51
998	-0.51
999	-0.505
1000	-0.5
1001	-0.495
1002	-0.49
1003	-0.49
1004	-0.495
1005	-0.495
1006	-0.485
1007	-0.465
1008	-0.47
1009	-0.47
1010	-0.475
1011	-0.495
1012	-0.49
1013	-0.47
1014	-0.47
1015	-0.485
1016	-0.48
1017	-0.5
1018	-0.485
1019	-0.475
1020	-0.485
1021	-0.48
1022	-0.49
1023	-0.495
1024	-0.505
1025	-0.51
1026	-0.475
1027	-0.48
1028	-0.485
1029	-0.5
1030	-0.495
1031	-0.485
1032	-0.475
1033	-0.465
1034	-0.47
1035	-0.485
1036	-0.465
1037	-0.45
1038	-0.425
1039	-0.42
1040	-0.4
1041	-0.415
1042	-0.395
1043	-0.385
1044	-0.38
1045	-0.375
1046	-0.37
1047	-0.37
1048	-0.345
1049	-0.315
1050	-0.285
1051	-0.28
1052	-0.255
1053	-0.26
1054	-0.235
1055	-0.215
1056	-0.195
1057	-0.19
1058	-0.18
1059	-0.175
1060	-0.165
1061	-0.155
1062	-0.14
1063	-0.145
1064	-0.15
1065	-0.155
1066	-0.175
1067	-0.175
1068	-0.16
1069	-0.175
1070	-0.2
1071	-0.215
1072	-0.22
1073	-0.215
1074	-0.225
1075	-0.23
1076	-0.23
1077	-0.24
1078	-0.235
1079	-0.24
1080	-0.245
1081	-0.255
1082	-0.245
1083	-0.245
1084	-0.255
1085	-0.245
1086	-0.24
1087	-0.255
1088	-0.265
1089	-0.28
1090	-0.275
1091	-0.27
1092	-0.26
1093	-0.26
1094	-0.27
1095	-0.28
1096	-0.285
1097	-0.28
1098	-0.27
1099	-0.27
1100	-0.275
1101	-0.27
1102	-0.27
1103	-0.27
1104	-0.265
1105	-0.255
1106	-0.275
1107	-0.29
1108	-0.28
1109	-0.27
1110	-0.28
1111	-0.285
1112	-0.28
1113	-0.28
1114	-0.275
1115	-0.275
1116	-0.26
1117	-0.265
1118	-0.28
1119	-0.285
1120	-0.28
1121	-0.27
1122	-0.25
1123	-0.27
1124	-0.29
1125	-0.28
1126	-0.29
1127	-0.265
1128	-0.26
1129	-0.255
1130	-0.27
1131	-0.285
1132	-0.285
1133	-0.275
1134	-0.26
1135	-0.27
1136	-0.265
1137	-0.28
1138	-0.28
1139	-0.26
1140	-0.265
1141	-0.275
1142	-0.28
1143	-0.295
1144	-0.275
1145	-0.25
1146	-0.245
1147	-0.255
1148	-0.27
1149	-0.285
1150	-0.285
1151	-0.265
1152	-0.24
1153	-0.235
1154	-0.225
1155	-0.205
1156	-0.17
1157	-0.145
1158	-0.15
1159	-0.18
1160	-0.175
1161	-0.17
1162	-0.13
1163	-0.1
1164	-0.085
1165	-0.09
1166	-0.075
1167	-0.085
1168	-0.09
1169	-0.075
1170	-0.055
1171	-0.065
1172	-0.075
1173	-0.09
1174	-0.11
1175	-0.11
1176	-0.12
1177	-0.13
1178	-0.19
1179	-0.26
1180	-0.3
1181	-0.325
1182	-0.33
1183	-0.335
1184	-0.34
1185	-0.335
1186	-0.33
1187	-0.34
1188	-0.34
1189	-0.335
1190	-0.335
1191	-0.34
1192	-0.325
1193	-0.335
1194	-0.325
1195	-0.32
1196	-0.325
1197	-0.325
1198	-0.325
1199	-0.31
1200	-0.295
1201	-0.305
1202	-0.305
1203	-0.305
1204	-0.28
1205	-0.27
1206	-0.275
1207	-0.29
1208	-0.315
1209	-0.31
1210	-0.29
1211	-0.245
1212	-0.16
1213	-0.045
1214	0.115
1215	0.3
1216	0.515
1217	0.74
1218	0.935
1219	1.075
1220	1.195
1221	1.235
1222	1.195
1223	1.08
1224	0.96
1225	0.835
1226	0.74
1227	0.625
1228	0.465
1229	0.31
1230	0.215
1231	0.14
1232	0.025
1233	-0.08
1234	-0.16
1235	-0.23
1236	-0.27
1237	-0.325
1238	-0.385
1239	-0.445
1240	-0.46
1241	-0.46
1242	-0.485
1243	-0.485
1244	-0.495
1245	-0.5
1246	-0.495
1247	-0.51
1248	-0.515
1249	-0.505
1250	-0.495
1251	-0.495
1252	-0.495
1253	-0.475
1254	-0.475
1255	-0.48
1256	-0.485
1257	-0.49
1258	-0.5
1259	-0.485
1260	-0.47
1261	-0.47
1262	-0.465
1263	-0.47
1264	-0.465
1265	-0.465
1266	-0.48
1267	-0.475
1268	-0.48
1269	-0.48
1270	-0.48
1271	-0.465
1272	-0.47
1273	-0.47
1274	-0.475
1275	-0.485
1276	-0.465
1277	-0.46
1278	-0.455
1279	-0.45
1280	-0.46
1281	-0.48
1282	-0.46
1283	-0.45
1284	-0.44
1285	-0.445
1286	-0.45
1287	-0.465
1288	-0.465
1289	-0.465
1290	-0.455
1291	-0.44
1292	-0.43
1293	-0.435
1294	-0.42
1295	-0.41
1296	-0.39
1297	-0.37
1298	-0.365
1299	-0.36
1300	-0.33
1301	-0.315
1302	-0.295
1303	-0.275
1304	-0.28
1305	-0.27
1306	-0.24
1307	-0.22
1308	-0.2
1309	-0.185
1310	-0.18
1311	-0.175
1312	-0.16
1313	-0.135
1314	-0.115
1315	-0.125
1316	-0.13
1317	-0.155
1318	-0.15
1319	-0.14
1320	-0.135
1321	-0.14
1322	-0.16
1323	-0.175
1324	-0.175
1325	-0.18
1326	-0.17
1327	-0.185
1328	-0.2
1329	-0.215
1330	-0.22
1331	-0.225
1332	-0.235
1333	-0.235
1334	-0.24
1335	-0.25
1336	-0.25
1337	-0.24
1338	-0.235
1339	-0.25
1340	-0.25
1341	-0.28
1342	-0.27
1343	-0.27
1344	-0.26
1345	-0.275
1346	-0.275
1347	-0.3
1348	-0.285
1349	-0.275
1350	-0.265
1351	-0.27
1352	-0.28
1353	-0.295
1354	-0.29
1355	-0.285
1356	-0.265
1357	-0.285
1358	-0.295
1359	-0.295
1360	-0.31
1361	-0.29
1362	-0.28
1363	-0.285
1364	-0.29
1365	-0.29
1366	-0.295
1367	-0.29
1368	-0.285
1369	-0.29
1370	-0.285
1371	-0.31
1372	-0.3
1373	-0.305
1374	-0.295
1375	-0.29
1376	-0.29
1377	-0.29
1378	-0.295
1379	-0.3
1380	-0.28
1381	-0.28
1382	-0.285
1383	-0.3
1384	-0.29
1385	-0.285
1386	-0.275
1387	-0.27
1388	-0.275
1389	-0.3
1390	-0.29
1391	-0.275
1392	-0.275
1393	-0.27
1394	-0.285
1395	-0.295
1396	-0.285
1397	-0.28
1398	-0.265
1399	-0.27
1400	-0.27
1401	-0.27
1402	-0.275
1403	-0.255
1404	-0.255
1405	-0.255
1406	-0.265
1407	-0.27
1408	-0.225
1409	-0.205
1410	-0.195
1411	-0.185
1412	-0.195
1413	-0.2
1414	-0.195
1415	-0.175
1416	-0.145
1417	-0.13
1418	-0.13
1419	-0.125
1420	-0.11
1421	-0.095
1422	-0.06
1423	-0.07
1424	-0.075
1425	-0.105
1426	-0.1
1427	-0.085
1428	-0.085
1429	-0.09
1430	-0.115
1431	-0.13
1432	-0.155
1433	-0.18
1434	-0.22
1435	-0.275
1436	-0.305
1437	-0.355
1438	-0.35
1439	-0.335
1440	-0.33
1441	-0.34
1442	-0.35
1443	-0.37
1444	-0.345
1445	-0.34
1446	-0.33
1447	-0.33
1448	-0.34
1449	-0.34
1450	-0.33
1451	-0.325
1452	-0.32
1453	-0.32
1454	-0.33
1455	-0.34
1456	-0.32
1457	-0.305
1458	-0.295
1459	-0.29
1460	-0.3
1461	-0.32
1462	-0.3
1463	-0.31
1464	-0.31
1465	-0.315
1466	-0.31
1467	-0.3
1468	-0.235
1469	-0.14
1470	0
1471	0.18
1472	0.365
1473	0.555
1474	0.755
1475	0.94
1476	1.075
1477	1.16
1478	1.21
1479	1.165
1480	1.065
1481	0.94
1482	0.835
1483	0.755
1484	0.655
1485	0.525
1486	0.36
1487	0.22
1488	0.135
1489	0.07
1490	-0.02
1491	-0.13
1492	-0.215
1493	-0.275
1494	-0.315
1495	-0.36
1496	-0.41
1497	-0.445
1498	-0.455
1499	-0.465
1500	-0.465
1501	-0.47
1502	-0.485
1503	-0.495
1504	-0.505
1505	-0.5
1506	-0.495
1507	-0.5
1508	-0.495
1509	-0.5
1510	-0.495
1511	-0.48
1512	-0.47
1513	-0.475
1514	-0.47
1515	-0.485
1516	-0.475
1517	-0.465
1518	-0.465
1519	-0.47
1520	-0.495
1521	-0.495
1522	-0.485
1523	-0.475
1524	-0.47
1525	-0.48
1526	-0.485
1527	-0.505
1528	-0.495
1529	-0.475
1530	-0.46
1531	-0.465
1532	-0.48
1533	-0.485
1534	-0.495
1535	-0.475
1536	-0.485
1537	-0.485
1538	-0.475
1539	-0.495
1540	-0.505
1541	-0.49
1542	-0.485
1543	-0.47
1544	-0.47
1545	-0.47
1546	-0.485
1547	-0.465
1548	-0.465
1549	-0.465
1550	-0.46
1551	-0.45
1552	-0.455
1553	-0.43
1554	-0.41
1555	-0.41
1556	-0.41
1557	-0.405
1558	-0.38
1559	-0.35
1560	-0.34
1561	-0.33
1562	-0.325
1563	-0.3
1564	-0.27
1565	-0.245
1566	-0.24
1567	-0.225
1568	-0.23
1569	-0.23
1570	-0.21
1571	-0.195
1572	-0.175
1573	-0.175
1574	-0.175
1575	-0.175
1576	-0.17
1577	-0.155
1578	-0.14
1579	-0.155
1580	-0.175
1581	-0.19
1582	-0.18
1583	-0.195
1584	-0.205
1585	-0.2
1586	-0.205
1587	-0.23
1588	-0.23
1589	-0.225
1590	-0.21
1591	-0.225
1592	-0.24
1593	-0.245
1594	-0.25
1595	-0.245
1596	-0.245
1597	-0.245
1598	-0.26
1599	-0.28
1600	-0.29
1601	-0.28
1602	-0.26
1603	-0.26
1604	-0.285
1605	-0.295
1606	-0.285
1607	-0.28
1608	-0.265
1609	-0.27
1610	-0.275
1611	-0.305
1612	-0.3
1613	-0.295
1614	-0.275
1615	-0.28
1616	-0.295
1617	-0.3
1618	-0.295
1619	-0.29
1620	-0.285
1621	-0.29
1622	-0.3
1623	-0.3
1624	-0.29
1625	-0.285
1626	-0.295
1627	-0.28
1628	-0.285
1629	-0.295
1630	-0.285
1631	-0.29
1632	-0.275
1633	-0.285
1634	-0.305
1635	-0.305
1636	-0.305
1637	-0.285
1638	-0.285
1639	-0.29
1640	-0.295
1641	-0.305
1642	-0.305
1643	-0.295
1644	-0.285
1645	-0.28
1646	-0.28
1647	-0.295
1648	-0.29
1649	-0.285
1650	-0.275
1651	-0.285
1652	-0.28
1653	-0.295
1654	-0.29
1655	-0.29
1656	-0.285
1657	-0.28
1658	-0.29
1659	-0.3
1660	-0.275
1661	-0.275
1662	-0.275
1663	-0.275
1664	-0.29
1665	-0.285
1666	-0.27
1667	-0.265
1668	-0.245
1669	-0.23
1670	-0.22
1671	-0.22
1672	-0.21
1673	-0.18
1674	-0.18
1675	-0.19
1676	-0.19
1677	-0.19
1678	-0.15
1679	-0.125
1680	-0.105
1681	-0.095
1682	-0.09
1683	-0.09
1684	-0.075
1685	-0.06
1686	-0.065
1687	-0.08
1688	-0.095
1689	-0.11
1690	-0.105
1691	-0.1
1692	-0.1
1693	-0.125
1694	-0.17
1695	-0.225
1696	-0.27
1697	-0.295
1698	-0.305
1699	-0.325
1700	-0.345
1701	-0.34
1702	-0.335
1703	-0.325
1704	-0.32
1705	-0.33
1706	-0.34
1707	-0.35
1708	-0.34
1709	-0.32
1710	-0.32
1711	-0.32
1712	-0.32
1713	-0.325
1714	-0.325
1715	-0.32
1716	-0.3
1717	-0.295
1718	-0.305
1719	-0.31
1720	-0.31
1721	-0.305
1722	-0.29
1723	-0.28
1724	-0.305
1725	-0.31
1726	-0.315
1727	-0.325
1728	-0.31
1729	-0.3
1730	-0.255
1731	-0.18
1732	-0.045
1733	0.135
1734	0.32
1735	0.495
1736	0.675
1737	0.855
1738	1.015
1739	1.135
1740	1.2
1741	1.205
1742	1.1
1743	0.95
1744	0.82
1745	0.745
1746	0.66
1747	0.52
1748	0.355
1749	0.24
1750	0.155
1751	0.14
1752	0.08
1753	-0.02
1754	-0.125
1755	-0.22
1756	-0.29
1757	-0.325
1758	-0.355
1759	-0.395
1760	-0.435
1761	-0.455
1762	-0.46
1763	-0.475
1764	-0.48
1765	-0.495
1766	-0.5
1767	-0.51
1768	-0.5
1769	-0.485
1770	-0.475
1771	-0.48
1772	-0.495
1773	-0.49
1774	-0.485
1775	-0.475
1776	-0.445
1777	-0.46
1778	-0.485
1779	-0.495
1780	-0.49
1781	-0.48
1782	-0.465
1783	-0.465
1784	-0.47
1785	-0.48
1786	-0.475
1787	-0.46
1788	-0.47
1789	-0.46
1790	-0.47
1791	-0.47
1792	-0.48
1793	-0.485
1794	-0.475
1795	-0.475
1796	-0.49
1797	-0.51
1798	-0.51
1799	-0.51
1800	-0.495
1801	-0.5
1802	-0.51
1803	-0.505
1804	-0.495
1805	-0.505
1806	-0.49
1807	-0.49
1808	-0.495
1809	-0.495
1810	-0.485
1811	-0.47
1812	-0.465
1813	-0.485
1814	-0.48
1815	-0.485
1816	-0.47
1817	-0.44
1818	-0.43
1819	-0.44
1820	-0.435
1821	-0.425
1822	-0.405
1823	-0.4
1824	-0.385
1825	-0.365
1826	-0.355
1827	-0.35
1828	-0.33
1829	-0.315
1830	-0.29
1831	-0.275
1832	-0.27
1833	-0.265
1834	-0.25
1835	-0.245
1836	-0.215
1837	-0.2
1838	-0.19
1839	-0.195
1840	-0.175
1841	-0.16
1842	-0.155
1843	-0.15
1844	-0.16
1845	-0.165
1846	-0.16
1847	-0.155
1848	-0.155
1849	-0.17
1850	-0.185
1851	-0.2
1852	-0.21
1853	-0.195
1854	-0.2
1855	-0.21
1856	-0.235
1857	-0.24
1858	-0.245
1859	-0.235
1860	-0.22
1861	-0.23
1862	-0.255
1863	-0.27
1864	-0.275
1865	-0.265
1866	-0.26
1867	-0.265
1868	-0.265
1869	-0.275
1870	-0.285
1871	-0.275
1872	-0.265
1873	-0.26
1874	-0.275
1875	-0.29
1876	-0.28
1877	-0.295
1878	-0.28
1879	-0.285
1880	-0.29
1881	-0.31
1882	-0.295
1883	-0.285
1884	-0.285
1885	-0.295
1886	-0.31
